啊,啊,ā
啊,啊,a
矮,矮,ǎi
爱,愛,ài
爱人,愛人,àiren
安静,安靜,ānjìng
安排,安排,ānpái
八,八,bā
把,把,bǎ
爸爸,爸爸,bàba
吧,吧,ba
白,白,bái
百,百,bǎi
摆,擺,bǎi
班,班,bān
搬,搬,bān
半,半,bàn
半天,半天,bàntiān
办,辦,bàn
办法,辦法,bànfǎ
办公室,辦公室,bàngōngshì
帮助,幫助,bāngzhù
饱,飽,bǎo
报,報,bào
抱,抱,bào
杯,杯,bēi
杯子,杯子,bēizi
北,北,běi
北边,北邊,běibiān
倍,倍,bèi
被,被,bèi
本,本,běn
本子,本子,běnzi
比,比,bǐ
比较,比較,bǐjiào
比赛,比賽,bǐsài
笔,筆,bǐ
必须,必須,bìxū
边,邊,biān
变,變,biàn
变成,變成,biànchéng
变化,變化,biànhuà
遍,遍,biàn
表,表,biǎo
表示,表示,biǎoshì
表现,表現,biǎoxiàn
表演,表演,biǎoyǎn
表扬,表揚,biǎoyáng
别,別,bié
别的,別的,biéde
别人,別人,biérén
病,病,bìng
不错,不錯,bùcuò
不但,不但,bùdàn
不要,不要,bùyào
不用,不用,bùyòng
不,不,bù
不久,不久,bùjiǔ
不如,不如,bùrú
不同,不同,bùtóng
布,布,bù
部分,部分,bùfen
擦,擦,cā
才,才,cái
菜,菜,cài
参观,參觀,cānguān
参加,參加,cānjiā
操场,操場,cāochǎng
草,草,cǎo
层,層,cēng
茶,茶,chá
查,查,chà
差,差,chà
常,常,cháng
常常,常常,chángcháng
长,長,cháng
长,長,zhǎng
场,場,chǎng
唱,唱,chàng
朝,朝,cháo
车,車,chē
车站,車站,chēzhàn
成,成,chéng
成绩,成績,chéngjì
城,城,chéng
城市,城市,chéngshì
吃,吃,chī
迟到,遲到,chídào
抽,抽,chōu
出,出,chū
出发,出發,chūfā
出来,出來,chūlái
出去,出去,chūqù
出现,出現,chūxiàn
出租汽车,出租汽車,chūzūqìchē
除了...以外,除了...以外,chúle...yǐwài
穿,穿,chuān
船,船,chuán
窗,窗,chuāng
窗户,窗戶,chuānghù
床,床,chuáng
吹,吹,chuī
春,春,chūn
春天,春天,chūntiān
词,詞,cí
词典,詞典,cídiǎn
磁带,磁帶,cídài
次,次,cì
从,從,cóng
从...到...,從...到...,cóng...dào...
从...起,從...起,cóng...qǐ
从前,從前,cóngqián
错,錯,cuò
错误,錯誤,cuòwù
打,打,dǎ
打算,打算,dǎsuàn
大,大,dà
大概,大概,dàgài
大家,大家,dàjiā
大声,大聲,dàshēng
大学,大學,dàxué
大夫,大夫,dàifu
代表,代表,dàibiǎo
带,帶,dài
戴,戴,dài
但是,但是,dànshì
当,當,dāng
当然,當然,dāngrán
刀,刀,dāo
倒,倒,dào
到,到,dào
道,道,dào
道理,道理,dàolǐ
得,得,de
得到,得到,dédào
的,的,de
地,地,dì
得很,得很,dehěn
灯,燈,děng
等,等,děng
低,低,dī
地,地,de
地方,地方,dìfāng
第,第,dì
弟弟,弟弟,dìdi
点,點,diǎn
点心,點心,diǎnxīn
点钟,點鐘,diǎnzhōng
电,電,diàn
电车,電車,diànchē
电灯,電燈,diàndēng
电话,電話,diànhuà
电视,電視,diànshì
电影,電影,diànyǐng
掉,掉,diào
丢,丟,diū
东,東,dōng
东边,東邊,dōngbiān
东西,東西,dōngxi
冬,冬,dōng
冬天,冬天,dōngtiān
懂,懂,dǒng
动,動,dòng
动物,動物,dòngwù
都,都,dōu
读,讀,dú
短,短,duǎn
段,段,duàn
锻炼,鍛鍊,duànliàn
对,對,duì
对不起,對不起,duìbùqǐ
顿,頓,dùn
多,多,duō
多么,多麼,duōme
多少,多少,duōshǎo
饿,餓,è
儿子,兒子,érzi
而且,而且,érqiě
二,二,èr
发,發,fā
发烧,發燒,fāshāo
发生,發生,fāshēng
发现,發現,fāxiàn
发展,發展,fāzhǎn
法语,法語,Fǎyǔ
翻,翻,fān
翻译,翻譯,fānyì
反对,反對,fǎnduì
饭,飯,fàn
饭店,飯店,fàndiàn
方便,方便,fāngbiàn
方法,方法,fāngfǎ
方面,方面,fāngmiàn
方向,方向,fāngxiàng
房间,房間,fángjiān
访问,訪問,fǎngwèn
放,放,fàng
放假,放假,fàngjià
飞,飛,fēi
飞机,飛機,fēijī
非常,非常,fēicháng
分,分,fēn
分之,分之,fēnzhī
分钟,分鐘,fēnzhōng
丰富,豐富,fēngfù
风,風,fēng
封,封,fēng
夫人,夫人,fūren
服务,服務,fúwù
服务员,服務員,fúwùyuán
辅导,輔導,fǔdǎo
父亲,父親,fùqīn
负责,負責,fùzé
附近,附近,fùjìn
复习,複習,fùxí
复杂,複雜,fùzá
该,該,gāi
改,改,gǎi
改变,改變,gǎibiàn
干,干,gān
干净,乾淨,gānjìng
敢,敢,gǎn
感到,感到,gǎndào
感冒,感冒,gǎnmào
感谢,感謝,gǎnxiè
干,干,gàn
干部,幹部,gànbù
刚,剛,gāng
刚才,剛才,gāngcái
钢笔,鋼筆,gāngbǐ
高,高,gāo
高兴,高興,gāoxìng
搞,搞,gǎo
告诉,告訴,gàosu
哥哥,哥哥,gēge
歌,歌,gē
个,個,gè
各,各,gě
各种,各種,gèzhǒng
给,給,gěi
根,根,gēn
跟,跟,gēn
更,更,gēng
工厂,工廠,gōngchǎng
工人,工人,gōngrén
工业,工業,gōngyè
工作,工作,gōngzuò
公共汽车,公共汽車,gōnggòngqìchē
公斤,公斤,gōngjīn
公里,公里,gōnglǐ
公园,公園,gōngyuán
够,夠,gòu
姑娘,姑娘,gūniang
故事,故事,gùshì
刮,刮,guā
挂,掛,guà
关,關,guān
