一,yi1
一会儿,yi2 hui4 r5
一共,yi2 gong4
一定,yi2 ding4
一样,yi2 yang4
一直,yi4 zhi2
一般,yi4 ban1
一起,yi4 qi3
一边,yi4 bian1
七,qi1
万,wan4
丈夫,zhang4 fu5
三,san1
上,shang4
上午,shang4 wu3
上班,shang4 ban1
上网,shang4 wang3
下,xia4
下午,xia4 wu3
下雨,xia4 yu3
不,bu4
不客气,bu2 ke4 qi5
世界,shi4 jie4
东,dong1
东西,dong1 xi5
两,liang3
个,ge4
中午,zhong1 wu3
中国,Zhong1 guo2
中间,zhong1 jian1
为,wei4
为了,wei4 le5
为什么,wei4 shen2 me5
主要,zhu3 yao4
举行,ju3 xing2
久,jiu3
九,jiu3
也,ye3
习惯,xi2 guan4
书,shu1
买,mai3
了,le5
了解,liao3 jie3
事情,shi4 qing2
二,er4
云,yun2
五,wu3
些,xie1
人,ren2
什么,shen2 me5
今天,jin1 tian1
介绍,jie4 shao4
从,cong2
他,ta1
以为,yi3 wei2
以前,yi3 qian2
以后,yi3 hou4
件,jian4
休息,xiu1 xi5
会,hui4
会议,hui4 yi4
伞,san3
但是,dan4 shi4
位,wei4
低,di1
住,zhu4
体育,ti3 yu4
作业,zuo4 ye4
作用,zuo4 yong4
你,ni3
使,shi3
便宜,pian2 yi5
信,xin4
借,jie4
做,zuo4
健康,jian4 kang1
像,xiang4
儿子,er2 zi5
元,yuan2
先,xian1
先生,xian1 sheng5
八,ba1
公共汽车,gong1 gong4 qi4 che1
公司,gong1 si1
公园,gong1 yuan2
公斤,gong1 jin1
六,liu4
关,guan1
关于,guan1 yu2
关心,guan1 xin1
关系,guan1 xi4
兴趣,xing4 qu5
其他,qi2 ta1
其实,qi2 shi2
再,zai4
再见,zai4 jian4
写,xie3
冬,dong1
冰箱,bing1 xiang1
决定,jue2 ding4
冷,leng3
准备,zhun3 bei4
几,ji3
几乎,ji1 hu1
出,chu1
出现,chu1 xian4
出租车,chu1 zu1 che1
分,fen1
分钟,fen1 zhong1
刚才,gang1 cai2
别,bie2
别人,bie2 ren2
刮风,gua1 feng1
到,dao4
刷牙,shua1 ya2
刻,ke4
前面,qian2 mian4
办公室,ban4 gong1 shi4
办法,ban4 fa3
动物,dong4 wu4
努力,nu3 li4
包,bao1
北京,Bei3 jing1
北方,bei3 fang1
医生,yi1 sheng1
医院,yi1 yuan4
十,shi2
千,qian1
半,ban4
卖,mai4
南,nan2
历史,li4 shi3
厨房,chu2 fang2
去,qu4
去年,qu4 nian2
参加,can1 jia1
又,you4
双,shuang1
发烧,fa1 shao1
发现,fa1 xian4
叔叔,shu1 shu5
变化,bian4 hua4
口,kou3
句子,ju4 zi5
只,zhi3
叫,jiao4
可以,ke3 yi3
可爱,ke3 ai4
可能,ke3 neng2
右边,you4 bian5
号,hao4
司机,si1 ji1
吃,chi1
同事,tong2 shi4
同学,tong2 xue2
同意,tong2 yi4
名字,ming2 zi5
后面,hou4 mian5
向,xiang4
吗,ma5
吧,ba5
听,ting1
告诉,gao4 su5
呢,ne5
周末,zhou1 mo4
和,he2
咖啡,ka1 fei1
哥哥,ge1 ge5
哪,na3
哪儿,na3 r5
